true_label,predicted_label,probability_non_sarcastic,probability_sarcastic,confidence,correct
1,1,0.17882386,0.8211761,0.8211761,True
0,0,0.9641992,0.035800792,0.9641992,True
0,0,0.9998529,0.00014711088,0.9998529,True
1,1,0.24956588,0.75043416,0.75043416,True
0,1,0.3502472,0.6497528,0.6497528,False
0,0,0.99953246,0.00046759946,0.99953246,True
0,0,0.99849546,0.0015045503,0.99849546,True
0,1,0.2296059,0.7703941,0.7703941,False
1,1,0.46928924,0.5307108,0.5307108,True
1,0,0.9045354,0.095464565,0.9045354,False
1,1,0.13924418,0.86075586,0.86075586,True
1,1,0.407301,0.59269905,0.59269905,True
1,1,0.24008588,0.7599141,0.7599141,True
1,0,0.68516964,0.31483033,0.68516964,False
1,0,0.90453255,0.09546737,0.90453255,False
1,1,0.092932716,0.9070673,0.9070673,True
1,0,0.6606881,0.3393119,0.6606881,False
0,0,0.99249554,0.00750442,0.99249554,True
1,1,0.29664737,0.7033527,0.7033527,True
0,0,0.63819337,0.36180657,0.63819337,True
1,1,0.2700691,0.7299309,0.7299309,True
0,0,0.9991836,0.00081634516,0.9991836,True
1,1,0.19880144,0.80119854,0.80119854,True
0,0,0.9995828,0.00041719322,0.9995828,True
0,0,0.99995935,4.0666182e-05,0.99995935,True
1,1,0.16911466,0.8308853,0.8308853,True
0,1,0.26997292,0.7300271,0.7300271,False
0,0,0.54153347,0.45846653,0.54153347,True
1,0,0.88725,0.112750016,0.88725,False
0,0,0.9168913,0.08310875,0.9168913,True
1,1,0.28707245,0.7129276,0.7129276,True
0,0,0.63921094,0.36078903,0.63921094,True
0,1,0.13895695,0.8610431,0.8610431,False
1,1,0.12548164,0.87451833,0.87451833,True
0,0,0.9919984,0.008001678,0.9919984,True
0,0,0.84874433,0.15125565,0.84874433,True
1,1,0.13514775,0.8648523,0.8648523,True
1,1,0.26177496,0.73822504,0.73822504,True
1,1,0.062308345,0.9376916,0.9376916,True
0,0,0.99995685,4.3116557e-05,0.99995685,True
0,0,0.9772509,0.022749148,0.9772509,True
0,1,0.23400441,0.7659956,0.7659956,False
1,1,0.23033734,0.7696627,0.7696627,True
1,1,0.112507835,0.8874922,0.8874922,True
1,1,0.09803076,0.90196925,0.90196925,True
1,1,0.10919742,0.8908026,0.8908026,True
0,0,0.96635747,0.033642504,0.96635747,True
1,1,0.17999531,0.8200047,0.8200047,True
1,1,0.20313494,0.79686505,0.79686505,True
0,0,0.639183,0.36081702,0.639183,True
0,0,0.9693943,0.030605713,0.9693943,True
1,1,0.13000274,0.8699973,0.8699973,True
1,1,0.1520556,0.8479444,0.8479444,True
1,1,0.21472809,0.7852719,0.7852719,True
1,1,0.46995288,0.5300471,0.5300471,True
1,1,0.17086287,0.8291372,0.8291372,True
0,0,0.99789727,0.0021026665,0.99789727,True
0,0,0.99930537,0.0006946616,0.99930537,True
1,1,0.23042572,0.76957434,0.76957434,True
1,1,0.20776737,0.79223263,0.79223263,True
0,1,0.14597677,0.8540232,0.8540232,False
1,1,0.09993385,0.9000662,0.9000662,True
0,0,0.9218262,0.0781738,0.9218262,True
1,1,0.27106094,0.72893906,0.72893906,True
0,0,0.9906839,0.009316093,0.9906839,True
0,0,0.9928681,0.007131895,0.9928681,True
0,1,0.13183503,0.868165,0.868165,False
0,0,0.99950993,0.0004900673,0.99950993,True
0,0,0.990334,0.009666035,0.990334,True
1,1,0.21523109,0.7847689,0.7847689,True
0,1,0.29248255,0.7075174,0.7075174,False
0,1,0.13894825,0.86105174,0.86105174,False
0,0,0.6633503,0.3366497,0.6633503,True
0,1,0.22116922,0.77883077,0.77883077,False
1,1,0.21201834,0.7879817,0.7879817,True
0,1,0.12549883,0.87450117,0.87450117,False
1,1,0.108634874,0.8913652,0.8913652,True
0,0,0.98663855,0.013361471,0.98663855,True
1,1,0.101216346,0.8987837,0.8987837,True
0,1,0.1299568,0.87004316,0.87004316,False
0,0,0.9268332,0.07316676,0.9268332,True
0,0,0.9998454,0.00015457165,0.9998454,True
0,0,0.9996302,0.00036979263,0.9996302,True
1,1,0.17786889,0.8221311,0.8221311,True
1,1,0.3867523,0.6132477,0.6132477,True
0,0,0.9831408,0.01685915,0.9831408,True
0,1,0.40484872,0.5951513,0.5951513,False
1,1,0.06276802,0.937232,0.937232,True
0,0,0.954305,0.04569503,0.954305,True
1,1,0.21454668,0.7854534,0.7854534,True
1,1,0.09462486,0.90537506,0.90537506,True
0,0,0.9998419,0.00015805567,0.9998419,True
1,1,0.1925027,0.80749726,0.80749726,True
0,1,0.1674388,0.83256125,0.83256125,False
0,0,0.96316594,0.036834102,0.96316594,True
1,1,0.20713928,0.79286075,0.79286075,True
0,0,0.7348866,0.26511338,0.7348866,True
0,0,0.97678137,0.023218641,0.97678137,True
0,0,0.96966213,0.030337926,0.96966213,True
1,1,0.07419122,0.9258088,0.9258088,True
0,0,0.6621843,0.33781567,0.6621843,True
1,1,0.3683814,0.6316186,0.6316186,True
1,1,0.12899332,0.87100667,0.87100667,True
1,1,0.2579084,0.7420916,0.7420916,True
1,1,0.15503632,0.8449637,0.8449637,True
0,0,0.9897462,0.010253818,0.9897462,True
0,1,0.12867992,0.87132007,0.87132007,False
1,1,0.29552808,0.70447195,0.70447195,True
1,0,0.54888284,0.45111722,0.54888284,False
1,0,0.58076626,0.4192337,0.58076626,False
0,1,0.30190414,0.69809586,0.69809586,False
1,1,0.21864344,0.7813566,0.7813566,True
0,1,0.21453017,0.78546983,0.78546983,False
